id_envio,fecha_envio,cliente_tipo,origen,destino,volumen_m3,ingreso,costo_1milla,costo_troncal,costo_ultimamilla,costo_total,margen_neto,margen_pct
PYM-13493,2025-08-09,Pyme,Maipú,Rancagua,0.034,3900,1907,790,1024,3721,179,4.5897435897435894
PYM-10958,2025-06-20,Pyme,Lampa,Rancagua,0.017,3900,1919,792,971,3682,218,5.5897435897435894
PYM-11161,2025-04-17,Pyme,Lampa,Rancagua,0.014,3900,2029,792,987,3808,92,2.358974358974359
PYM-11029,2025-09-12,Pyme,Providencia,Rancagua,0.043,3900,2140,793,961,3894,6,0.15384615384615385
PYM-12488,2025-08-15,Pyme,Santiago,Rancagua,0.036,3900,2132,793,1039,3964,-64,-1.641025641025641
PYM-10331,2025-05-07,Pyme,Lampa,Rancagua,0.016,3900,1914,794,976,3684,216,5.5384615384615383
PYM-12102,2025-11-25,Pyme,Quilicura,Rancagua,0.025,3900,2101,794,1049,3944,-44,-1.1282051282051282
PYM-10812,2025-03-07,Pyme,Maipú,Rancagua,0.028,3900,1821,795,1005,3621,279,7.1538461538461533
PYM-12340,2025-08-21,Pyme,Quilicura,Rancagua,0.006,3900,1859,795,967,3621,279,7.1538461538461533
PYM-13285,2025-06-22,Pyme,San Bernardo,Rancagua,0.04,3900,1915,795,1003,3713,187,4.7948717948717947
PYM-13536,2025-08-17,Pyme,Quilicura,Rancagua,0.044,3900,2127,795,1001,3923,-23,-0.58974358974358976
PYM-10564,2025-01-14,Pyme,Lampa,Rancagua,0.031,3900,1953,796,980,3729,171,4.384615384615385
PYM-11572,2025-05-24,Pyme,Pudahuel,Rancagua,0.008,3900,1988,796,1048,3832,68,1.7435897435897436
PYM-12722,2025-06-30,Pyme,Pudahuel,Rancagua,0.021,3900,2042,796,1027,3865,35,0.89743589743589736
PYM-12743,2025-05-06,Pyme,San Bernardo,Rancagua,0.018,3900,2076,796,963,3835,65,1.6666666666666667
PYM-12508,2025-12-24,Pyme,Lampa,Rancagua,0.033,3900,1828,797,1004,3629,271,6.9487179487179489
PYM-13332,2025-12-23,Pyme,San Bernardo,Rancagua,0.048,3900,2079,797,1001,3877,23,0.58974358974358976
PYM-10114,2025-08-16,Pyme,San Bernardo,Rancagua,0.023,3900,2015,798,990,3803,97,2.4871794871794872
PYM-11716,2025-07-17,Pyme,Santiago,Rancagua,0.044,3900,2049,798,990,3837,63,1.6153846153846154
PYM-12618,2025-03-16,Pyme,San Bernardo,Rancagua,0.024,3900,1872,798,1015,3685,215,5.5128205128205128
PYM-11418,2025-05-21,Pyme,Providencia,Rancagua,0.04,3900,1891,799,985,3675,225,5.7692307692307692
PYM-12672,2025-07-20,Pyme,Santiago,Rancagua,0.048,3900,1925,799,970,3694,206,5.2820512820512819
PYM-10709,2025-03-02,Pyme,Maipú,Rancagua,0.028,3900,2134,800,951,3885,15,0.38461538461538464
PYM-11593,2025-10-25,Pyme,Pudahuel,Rancagua,0.005,3900,2145,800,993,3938,-38,-0.97435897435897445
PYM-12765,2025-05-10,Pyme,Santiago,Rancagua,0.012,3900,1887,800,1034,3721,179,4.5897435897435894
PYM-13663,2025-05-25,Pyme,Santiago,Rancagua,0.025,3900,2197,800,952,3949,-49,-1.2564102564102564
PYM-13891,2025-08-26,Pyme,Quilicura,Rancagua,0.024,3900,2048,800,979,3827,73,1.871794871794872
PYM-10959,2025-06-13,Pyme,San Bernardo,Rancagua,0.022,3900,1858,801,1046,3705,195,5
PYM-13990,2025-01-17,Pyme,Lampa,Rancagua,0.016,3900,1885,802,1017,3704,196,5.0256410256410255
PYM-10440,2025-06-11,Pyme,San Bernardo,Rancagua,0.03,3900,2126,803,1046,3975,-75,-1.9230769230769231
PYM-10803,2025-02-20,Pyme,Quilicura,Rancagua,0.027,3900,2048,803,962,3813,87,2.2307692307692308
PYM-11775,2025-06-10,Pyme,Maipú,Rancagua,0.048,3900,2150,803,973,3926,-26,-0.66666666666666674
PYM-12439,2025-07-12,Pyme,Pudahuel,Rancagua,0.007,3900,2134,803,1005,3942,-42,-1.0769230769230769
PYM-12519,2025-07-09,Pyme,Santiago,Rancagua,0.047,3900,2024,803,1045,3872,28,0.717948717948718
PYM-13400,2025-08-20,Pyme,Quilicura,Rancagua,0.018,3900,2136,803,982,3921,-21,-0.53846153846153844
PYM-11128,2025-05-22,Pyme,Quilicura,Rancagua,0.02,3900,1851,804,1039,3694,206,5.2820512820512819
PYM-11944,2025-06-01,Pyme,Santiago,Rancagua,0.038,3900,2050,804,1046,3900,0,0
PYM-12014,2025-01-28,Pyme,San Bernardo,Rancagua,0.03,3900,2018,804,1022,3844,56,1.4358974358974359
PYM-12518,2025-12-18,Pyme,Santiago,Rancagua,0.026,3900,2196,804,953,3953,-53,-1.358974358974359
PYM-10983,2025-02-12,Pyme,Pudahuel,Rancagua,0.008,3900,1918,805,994,3717,183,4.6923076923076925
PYM-11055,2025-11-23,Pyme,Santiago,Rancagua,0.048,3900,1988,805,954,3747,153,3.9230769230769229
PYM-11164,2025-09-01,Pyme,Maipú,Rancagua,0.026,3900,2005,805,999,3809,91,2.3333333333333335
PYM-12601,2025-12-11,Pyme,San Bernardo,Rancagua,0.032,3900,1969,805,1045,3819,81,2.0769230769230771
PYM-13399,2025-04-09,Pyme,Maipú,Rancagua,0.019,3900,2115,805,958,3878,22,0.5641025641025641
PYM-13921,2025-01-30,Pyme,Providencia,Rancagua,0.046,3900,1948,805,995,3748,152,3.8974358974358978
PYM-10215,2025-10-16,Pyme,Santiago,Rancagua,0.035,3900,2066,806,984,3856,44,1.1282051282051282
PYM-11322,2025-06-22,Pyme,Lampa,Rancagua,0.042,3900,1898,806,977,3681,219,5.615384615384615
PYM-12334,2025-07-09,Pyme,Lampa,Rancagua,0.042,3900,1924,806,1023,3753,147,3.7692307692307692
PYM-10159,2025-12-10,Pyme,Providencia,Rancagua,0.048,3900,1903,807,1048,3758,142,3.6410256410256405
PYM-12922,2025-06-16,Pyme,Lampa,Rancagua,0.028,3900,2009,807,1013,3829,71,1.8205128205128203
PYM-13342,2025-07-24,Pyme,San Bernardo,Rancagua,0.037,3900,2087,807,1000,3894,6,0.15384615384615385
PYM-13623,2025-03-16,Pyme,Providencia,Rancagua,0.014,3900,2173,807,997,3977,-77,-1.9743589743589745
PYM-13902,2025-01-27,Pyme,Quilicura,Rancagua,0.01,3900,2009,807,986,3802,98,2.5128205128205128
PYM-13907,2025-11-20,Pyme,Pudahuel,Rancagua,0.022,3900,1897,807,977,3681,219,5.615384615384615
PYM-10337,2025-03-28,Pyme,Maipú,Rancagua,0.016,3900,1815,808,1040,3663,237,6.0769230769230766
PYM-10565,2025-06-12,Pyme,Providencia,Rancagua,0.047,3900,1968,808,1043,3819,81,2.0769230769230771
PYM-12756,2025-02-27,Pyme,Providencia,Rancagua,0.006,3900,2016,808,1049,3873,27,0.69230769230769229
PYM-13162,2025-09-10,Pyme,Maipú,Rancagua,0.015,3900,1994,808,966,3768,132,3.3846153846153846
PYM-10388,2025-06-28,Pyme,San Bernardo,Rancagua,0.007,3900,1955,810,1020,3785,115,2.9487179487179485
PYM-11584,2025-08-04,Pyme,Pudahuel,Rancagua,0.038,3900,1870,810,986,3666,234,6
PYM-12054,2025-04-22,Pyme,Lampa,Rancagua,0.007,3900,2098,810,991,3899,1,0.02564102564102564
PYM-13375,2025-07-01,Pyme,Quilicura,Rancagua,0.025,3900,2048,810,972,3830,70,1.7948717948717947
PYM-13614,2025-08-12,Pyme,Santiago,Rancagua,0.034,3900,2187,810,1019,4016,-116,-2.9743589743589745
PYM-13971,2025-01-19,Pyme,Providencia,Rancagua,0.026,3900,2027,811,1005,3843,57,1.4615384615384615
PYM-10153,2025-07-02,Pyme,Lampa,Rancagua,0.019,3900,2015,812,1023,3850,50,1.2820512820512819
PYM-11126,2025-11-24,Pyme,San Bernardo,Rancagua,0.038,3900,2005,812,1038,3855,45,1.153846153846154
PYM-11352,2025-08-24,Pyme,Pudahuel,Rancagua,0.027,3900,1924,812,971,3707,193,4.9487179487179489
PYM-13149,2025-01-08,Pyme,Providencia,Rancagua,0.016,3900,2000,812,1018,3830,70,1.7948717948717947
PYM-13187,2025-09-25,Pyme,Providencia,Rancagua,0.032,3900,2031,812,978,3821,79,2.0256410256410255
PYM-10706,2025-01-31,Pyme,Maipú,Rancagua,0.018,3900,1925,813,1034,3772,128,3.2820512820512819
PYM-13881,2025-06-23,Pyme,Quilicura,Rancagua,0.017,3900,2006,813,969,3788,112,2.8717948717948718
PYM-10167,2025-09-08,Pyme,San Bernardo,Rancagua,0.029,3900,1888,814,957,3659,241,6.17948717948718
PYM-11101,2025-10-04,Pyme,San Bernardo,Rancagua,0.029,3900,1983,814,999,3796,104,2.666666666666667
PYM-11684,2025-11-20,Pyme,Maipú,Rancagua,0.009,3900,1835,814,1008,3657,243,6.2307692307692308
PYM-11737,2025-08-27,Pyme,Pudahuel,Rancagua,0.007,3900,2143,814,979,3936,-36,-0.92307692307692313
PYM-12007,2025-04-12,Pyme,Santiago,Rancagua,0.038,3900,1951,814,972,3737,163,4.17948717948718
PYM-13681,2025-04-19,Pyme,Providencia,Rancagua,0.019,3900,1801,814,991,3606,294,7.5384615384615383
PYM-12220,2025-09-15,Pyme,Lampa,Rancagua,0.012,3900,1875,815,956,3646,254,6.5128205128205119
PYM-12530,2025-03-25,Pyme,Maipú,Rancagua,0.018,3900,2088,815,1045,3948,-48,-1.2307692307692308
PYM-12964,2025-12-12,Pyme,Lampa,Rancagua,0.015,3900,1965,815,1000,3780,120,3.0769230769230771
PYM-10872,2025-07-02,Pyme,Quilicura,Rancagua,0.026,3900,2170,816,991,3977,-77,-1.9743589743589745
PYM-13627,2025-08-07,Pyme,San Bernardo,Rancagua,0.022,3900,1896,816,980,3692,208,5.3333333333333339
PYM-13780,2025-03-02,Pyme,Providencia,Rancagua,0.03,3900,2116,816,969,3901,-1,-0.02564102564102564
PYM-13987,2025-10-08,Pyme,Pudahuel,Rancagua,0.044,3900,2169,816,1040,4025,-125,-3.2051282051282048
PYM-13263,2025-07-04,Pyme,Maipú,Rancagua,0.028,3900,1999,817,1010,3826,74,1.8974358974358976
PYM-11605,2025-03-19,Pyme,Pudahuel,Rancagua,0.033,3900,2196,819,1023,4038,-138,-3.5384615384615383
PYM-11733,2025-10-31,Pyme,Lampa,Rancagua,0.029,3900,1971,820,1008,3799,101,2.5897435897435894
PYM-12251,2025-04-17,Pyme,Lampa,Rancagua,0.02,3900,1878,820,1014,3712,188,4.82051282051282
PYM-10814,2025-08-02,Pyme,Providencia,Rancagua,0.034,3900,1999,821,976,3796,104,2.666666666666667
PYM-12230,2025-10-12,Pyme,Pudahuel,Rancagua,0.026,3900,1858,821,1024,3703,197,5.0512820512820511
PYM-13121,2025-11-19,Pyme,Santiago,Rancagua,0.028,3900,1957,821,1047,3825,75,1.9230769230769231
PYM-11585,2025-12-20,Pyme,Providencia,Rancagua,0.041,3900,1883,822,998,3703,197,5.0512820512820511
PYM-11803,2025-02-07,Pyme,Maipú,Rancagua,0.026,3900,1994,822,998,3814,86,2.2051282051282048
PYM-13025,2025-03-21,Pyme,Maipú,Rancagua,0.008,3900,2116,822,963,3901,-1,-0.02564102564102564
PYM-13282,2025-07-16,Pyme,Lampa,Rancagua,0.013,3900,2164,823,967,3954,-54,-1.3846153846153846
PYM-13992,2025-03-12,Pyme,San Bernardo,Rancagua,0.039,3900,2121,823,983,3927,-27,-0.69230769230769229
PYM-10590,2025-08-12,Pyme,Pudahuel,Rancagua,0.007,3900,1935,824,974,3733,167,4.2820512820512819
PYM-12115,2025-12-13,Pyme,Pudahuel,Rancagua,0.01,3900,2155,824,1028,4007,-107,-2.7435897435897436
PYM-12223,2025-01-01,Pyme,Maipú,Rancagua,0.009,3900,1877,824,1025,3726,174,4.4615384615384617
PYM-12994,2025-04-30,Pyme,Quilicura,Rancagua,0.015,3900,1961,824,1026,3811,89,2.2820512820512824
PYM-11037,2025-01-13,Pyme,Providencia,Rancagua,0.045,3900,2020,825,1045,3890,10,0.25641025641025639
PYM-11907,2025-05-27,Pyme,Providencia,Rancagua,0.02,3900,1980,825,1003,3808,92,2.358974358974359
PYM-13092,2025-03-23,Pyme,Maipú,Rancagua,0.015,3900,2134,825,957,3916,-16,-0.41025641025641024
PYM-10623,2025-04-27,Pyme,San Bernardo,Rancagua,0.019,3900,2190,826,980,3996,-96,-2.4615384615384617
PYM-11095,2025-02-26,Pyme,Santiago,Rancagua,0.025,3900,1901,826,998,3725,175,4.4871794871794872
PYM-11966,2025-08-16,Pyme,Pudahuel,Rancagua,0.027,3900,2060,826,995,3881,19,0.48717948717948723
PYM-13174,2025-05-01,Pyme,Lampa,Rancagua,0.043,3900,1800,826,976,3602,298,7.6410256410256405
PYM-10009,2025-12-17,Pyme,Lampa,Rancagua,0.014,3900,2184,827,1024,4035,-135,-3.4615384615384617
PYM-10738,2025-01-19,Pyme,Maipú,Rancagua,0.043,3900,2110,827,968,3905,-5,-0.12820512820512819
PYM-11123,2025-07-02,Pyme,Quilicura,Rancagua,0.031,3900,2165,827,1034,4026,-126,-3.2307692307692308
PYM-11273,2025-05-20,Pyme,Pudahuel,Rancagua,0.006,3900,1840,827,1008,3675,225,5.7692307692307692
PYM-11763,2025-10-31,Pyme,San Bernardo,Rancagua,0.01,3900,2132,827,1017,3976,-76,-1.9487179487179489
PYM-11866,2025-06-09,Pyme,Providencia,Rancagua,0.018,3900,2176,827,1034,4037,-137,-3.5128205128205128
PYM-10012,2025-10-16,Pyme,Quilicura,Rancagua,0.021,3900,2165,828,994,3987,-87,-2.2307692307692308
PYM-10708,2025-12-07,Pyme,San Bernardo,Rancagua,0.013,3900,1898,828,966,3692,208,5.3333333333333339
PYM-10995,2025-12-10,Pyme,Pudahuel,Rancagua,0.039,3900,2028,828,997,3853,47,1.2051282051282051
PYM-12236,2025-01-12,Pyme,Maipú,Rancagua,0.022,3900,2081,828,1045,3954,-54,-1.3846153846153846
PYM-10117,2025-08-06,Pyme,San Bernardo,Rancagua,0.01,3900,1807,829,1043,3679,221,5.6666666666666661
PYM-11672,2025-01-17,Pyme,Maipú,Rancagua,0.042,3900,1856,830,1022,3708,192,4.9230769230769234
PYM-11806,2025-03-15,Pyme,Lampa,Rancagua,0.044,3900,1853,830,1001,3684,216,5.5384615384615383
PYM-10133,2025-03-26,Pyme,Quilicura,Rancagua,0.044,3900,1968,831,1031,3830,70,1.7948717948717947
PYM-10981,2025-07-17,Pyme,Quilicura,Rancagua,0.027,3900,2159,831,1018,4008,-108,-2.7692307692307692
PYM-10485,2025-09-28,Pyme,Quilicura,Rancagua,0.023,3900,2121,832,970,3923,-23,-0.58974358974358976
PYM-12140,2025-07-03,Pyme,San Bernardo,Rancagua,0.029,3900,2075,832,1045,3952,-52,-1.3333333333333335
PYM-13646,2025-07-02,Pyme,San Bernardo,Rancagua,0.03,3900,1897,832,1034,3763,137,3.5128205128205128
PYM-10940,2025-08-20,Pyme,Lampa,Rancagua,0.046,3900,1935,834,1041,3810,90,2.3076923076923079
PYM-11992,2025-12-27,Pyme,Quilicura,Rancagua,0.01,3900,2066,834,1018,3918,-18,-0.46153846153846156
PYM-12255,2025-09-30,Pyme,Providencia,Rancagua,0.021,3900,2185,834,1034,4053,-153,-3.9230769230769229
PYM-12594,2025-10-31,Pyme,Lampa,Rancagua,0.041,3900,2112,834,1048,3994,-94,-2.41025641025641
PYM-11998,2025-09-14,Pyme,Santiago,Rancagua,0.036,3900,1852,835,1039,3726,174,4.4615384615384617
PYM-12176,2025-12-28,Pyme,Providencia,Rancagua,0.025,3900,2160,836,1034,4030,-130,-3.3333333333333335
PYM-13059,2025-12-25,Pyme,Lampa,Rancagua,0.033,3900,1936,836,970,3742,158,4.0512820512820511
PYM-11407,2025-07-23,Pyme,Providencia,Rancagua,0.049,3900,2091,837,965,3893,7,0.17948717948717949
PYM-11490,2025-07-27,Pyme,Lampa,Rancagua,0.022,3900,2191,837,991,4019,-119,-3.0512820512820511
PYM-11545,2025-04-12,Pyme,Santiago,Rancagua,0.024,3900,2010,837,1041,3888,12,0.30769230769230771
PYM-11599,2025-12-24,Pyme,Santiago,Rancagua,0.047,3900,1842,837,969,3648,252,6.4615384615384617
